ano,bioma,lat,long,mes,focos
1999,Rio Grande do Norte,-5.22,-36.52,MAIO,1
1999,Rio Grande do Norte,-5.22,-36.52,JUNHO,4
1999,Rio Grande do Norte,-5.22,-36.52,JULHO,7
1999,Rio Grande do Norte,-5.22,-36.52,AGOSTO,38
1999,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,35
1999,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,40
1999,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,61
1999,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,29
2000,Rio Grande do Norte,-5.22,-36.52,JANEIRO,1
2000,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,7
2000,Rio Grande do Norte,-5.22,-36.52,MARÇO,10
2000,Rio Grande do Norte,-5.22,-36.52,ABRIL,16
2000,Rio Grande do Norte,-5.22,-36.52,MAIO,3
2000,Rio Grande do Norte,-5.22,-36.52,JUNHO,9
2000,Rio Grande do Norte,-5.22,-36.52,JULHO,4
2000,Rio Grande do Norte,-5.22,-36.52,AGOSTO,30
2000,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,17
2000,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,28
2000,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,9
2000,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,11
2001,Rio Grande do Norte,-5.22,-36.52,JANEIRO,2
2001,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,0
2001,Rio Grande do Norte,-5.22,-36.52,MARÇO,0
2001,Rio Grande do Norte,-5.22,-36.52,ABRIL,10
2001,Rio Grande do Norte,-5.22,-36.52,MAIO,56
2001,Rio Grande do Norte,-5.22,-36.52,JUNHO,13
2001,Rio Grande do Norte,-5.22,-36.52,JULHO,23
2001,Rio Grande do Norte,-5.22,-36.52,AGOSTO,55
2001,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,43
2001,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,34
2001,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,40
2001,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,20
